id,experiential_learning,prosocial_index,social_awareness,age,gpa,income,community_connections,employed_nonprofit
1638,1,95,81,25,2.84,70200,3,1
1639,1,100,81,22,3.01,47400,7,1
1640,1,100,86,27,4,53800,8,1
1641,0,75,71,21,2.63,22900,4,0
1642,0,74,58,24,4,42000,0,0
1643,0,80,73,27,2.84,21700,3,0
1644,1,100,85,21,4,32200,4,1
1645,1,97,69,29,3,28900,3,1
1646,1,100,87,25,3.35,39200,7,1
1647,0,79,62,21,3.03,44200,3,1
1648,1,100,77,25,3.42,38600,4,1
1649,0,88,71,27,3.6,29800,3,0
1650,0,88,90,24,2.32,40600,2,1
1651,0,90,64,28,4,33500,2,0
1652,1,100,87,29,2.84,37800,6,1
1653,1,100,90,23,3.33,39700,5,1
1654,0,77,61,24,3.76,23500,2,0
1655,0,80,80,24,3.02,20900,3,0
1656,0,91,65,27,2.19,70100,3,0
1657,0,82,79,23,2.95,15000,2,0
1658,1,91,68,24,3.13,29500,8,0
1659,0,82,68,30,2.79,21200,4,0
1660,0,90,89,25,2.89,31800,4,1
1661,0,86,78,23,3.76,40700,5,0
1662,0,88,87,27,3.36,16100,6,0
1663,0,86,59,22,3.26,32700,4,0
1664,0,90,74,30,2.72,46400,2,0
1665,0,69,28,27,2.94,34700,4,0
1666,0,84,80,22,2.99,45500,1,0
1667,1,95,74,24,3.29,45300,5,1
1668,0,77,47,27,2.93,40200,4,0
1669,1,100,70,22,3.53,56400,7,1
1670,1,95,77,25,2.48,37400,2,1
1671,0,77,72,25,2.97,35000,1,0
1672,1,100,73,25,3.33,45600,10,1
1673,0,66,45,27,3.8,15000,4,0
1674,1,93,66,24,4,21400,2,1
1675,1,100,75,26,3.2,16000,6,1
1676,0,73,65,24,2.46,44800,2,0
1677,0,70,36,23,2.9,37900,3,0
1678,1,100,93,17,4,54500,6,1
1679,0,81,71,26,2.7,42700,2,1
1680,0,85,88,21,2.93,30800,0,0
1681,0,85,67,24,3.13,43500,1,0
1682,0,82,56,27,4,55000,2,0
1683,1,100,81,29,4,32400,9,1
1684,1,92,55,24,3.32,35600,5,1
1685,0,89,76,20,3.57,45600,2,0
1686,0,75,52,24,4,33000,1,0
1687,1,100,76,26,2.7,57000,9,1
1688,0,77,69,24,3.2,32300,1,0
1689,1,100,92,23,3.44,36500,8,1
1690,1,100,67,28,3.05,44500,5,1
1691,0,88,78,22,3.67,36700,4,1
1692,0,77,59,24,3.17,30800,3,0
1693,0,86,61,29,2.93,23200,3,0
1694,0,85,54,25,2.89,60300,4,0
1695,1,100,62,26,3.69,54600,7,1
1696,1,100,76,28,3.81,31500,5,1
1697,0,75,54,24,3.52,19600,5,0
1698,1,100,81,22,2.57,35800,5,1
1699,1,100,84,29,2.6,44600,7,1
1700,0,79,65,20,3.05,24000,1,0
1701,0,99,79,23,3.98,48100,7,0
1702,0,98,84,24,3.44,37400,2,1
1703,0,99,62,29,4,56600,3,1
1704,1,94,71,22,2.93,69300,3,1
1705,1,100,61,20,4,27000,7,1
1706,0,79,66,21,4,43200,1,0
1707,0,94,78,25,3.53,49200,3,1
1708,1,99,80,25,2.69,18100,4,1
1709,0,84,78,21,3.06,46300,1,0
1710,1,80,44,29,3.29,18400,6,1
1711,1,91,57,25,3.39,21700,5,1
1712,0,72,49,27,3.22,40400,2,0
1713,1,100,77,25,2.81,48600,3,1
1714,1,100,89,22,2.8,68700,2,1
1715,0,72,64,22,3.13,43500,0,0
1716,0,91,59,23,3.64,49700,4,0
1717,0,96,78,25,4,56800,2,1
1718,0,84,79,27,2.87,21800,4,0
1719,0,95,77,26,4,16700,6,0
1720,0,87,67,27,3.04,56700,1,0
1721,1,100,89,27,3.65,57900,6,1
1722,1,100,92,28,2.86,29800,6,1
1723,0,85,63,24,2.78,43400,5,0
1724,1,100,89,24,3.05,40600,8,1
1725,0,94,90,24,2.55,55900,4,1
1726,0,93,65,25,4,40400,5,0
1727,0,90,77,25,2.92,55600,4,0
1728,0,84,75,27,3.09,39900,3,0
1729,0,85,61,27,3.07,15000,7,0
1730,0,76,75,26,2.43,42200,3,0
1731,1,100,95,24,3.62,59700,7,1
1732,0,77,58,28,3.64,32400,3,0
1733,0,83,67,24,4,57000,2,0
1734,1,100,85,29,3.99,58700,5,1
1735,1,100,90,29,4,25700,6,1
1736,1,97,50,29,3,15000,4,0
1737,1,97,74,23,3.52,31500,4,1
1738,0,87,80,24,3.22,38500,1,1
1739,0,91,71,24,3.05,47800,3,1
1740,1,100,82,25,2.98,48500,6,1
1741,0,86,73,25,2.25,38900,2,0
1742,0,97,87,27,2.84,35700,7,0
1743,0,87,79,26,2.55,28700,2,0
1744,0,79,75,21,3.67,20700,4,0
1745,0,77,43,28,2.95,54900,3,0
1746,0,76,61,26,2.58,24100,2,0
1747,0,74,84,23,2.3,21700,3,0
1748,1,100,88,26,3.45,52600,7,1
1749,0,81,58,23,3.67,30600,1,0
1750,1,98,81,25,2,23600,6,1
1751,0,79,65,27,2.99,27200,2,0
1752,0,70,57,28,2.26,35100,0,0
1753,0,75,62,24,2.9,46400,3,0
1754,0,80,69,25,3.36,21500,3,0
1755,1,93,52,23,2.48,37600,7,0
1756,0,99,74,28,2.83,33700,6,1
1757,1,99,68,26,2.76,63300,5,1
1758,1,92,65,29,2.1,40800,5,1
1759,1,94,73,22,3.69,32900,5,0
1760,0,75,68,20,3.21,33500,2,0
1761,1,100,74,28,3.57,47300,9,1
1762,1,100,67,27,4,36500,9,0
1763,0,85,55,26,2.48,40700,3,0
1764,0,82,90,25,2.56,33500,2,0
1765,0,96,73,27,2.87,64000,2,1
1766,1,97,82,24,4,30200,4,1
1767,0,92,85,26,3.26,32200,3,1
1768,0,76,47,25,3.57,55500,5,0
1769,1,100,76,24,4,49500,11,1
1770,0,93,78,26,2.73,36200,4,1
1771,1,82,48,24,2.09,45600,9,0
1772,1,100,91,23,3.2,46900,10,1
1773,1,100,86,25,3.13,28100,9,1
1774,0,81,54,20,3.67,28900,1,0
1775,0,79,63,27,3.3,23800,2,0
1776,1,81,56,28,3.11,35200,5,0
1777,1,100,84,33,2.89,73000,5,1
1778,1,97,70,25,3.1,57700,5,0
1779,1,86,39,24,3.63,52600,6,0
1780,1,87,52,26,3.6,64400,4,0
1781,1,100,85,20,3.15,49000,9,1
1782,0,79,36,23,3.39,40600,7,0
1783,0,96,85,29,3.6,26400,7,0
1784,0,83,72,20,3.08,41400,2,0
1785,0,88,67,22,4,60600,2,0
1786,0,69,61,20,3.38,24800,1,0
1787,1,93,78,25,2.82,45300,1,1
1788,0,60,32,24,3.78,21700,4,0
1789,1,97,83,24,4,61600,3,1
1790,1,100,86,30,3.51,26400,6,1
1791,0,80,82,24,2.6,35800,3,0
1792,1,100,84,22,3.01,36800,2,1
1793,0,82,53,24,2.91,45800,7,0
1794,0,83,64,21,2.64,28900,5,0
1795,1,97,84,28,2.68,23100,7,1
1796,0,75,62,24,2,34700,3,0
1797,1,100,85,28,3.33,33300,7,1
1798,1,100,87,29,3.21,30300,2,0
1799,0,70,44,20,2.04,32800,2,0
1800,0,73,41,27,3.41,46300,1,0
1801,0,71,56,29,2.77,30200,0,0
1802,0,82,65,23,4,30800,2,0
1803,0,91,85,27,2.92,53000,2,0
1804,1,100,91,25,2.86,70700,5,1
1805,0,87,79,26,2.63,43900,0,1
1806,1,100,78,25,3.48,45400,4,1
1807,0,85,66,20,3.68,74300,7,0
1808,0,93,89,26,2,28900,4,1
1809,0,67,40,30,2.68,23500,4,0
1810,0,79,52,27,4,38500,1,0
1811,1,83,51,25,4,24100,6,0
1812,1,87,81,26,3.88,42600,4,0
1813,0,82,55,24,4,54800,3,0
1814,0,86,86,29,2,15000,3,0
1815,0,88,67,28,2.78,77000,5,0
1816,0,80,49,27,3.81,40700,3,0
1817,1,100,70,20,3.51,65300,4,1
1818,1,100,73,23,3.18,55000,2,1
1819,1,100,72,22,3.87,64200,4,1
1820,0,92,82,24,3.46,37600,4,1
1821,0,76,41,18,3.73,74300,2,0
1822,1,89,62,25,3.61,38900,5,1
1823,0,84,77,20,3.87,52400,3,0
1824,1,100,83,24,2,49800,7,1
1825,0,82,89,21,3.05,15000,1,0
1826,0,75,58,22,4,15000,3,0
1827,0,77,63,21,2.01,39100,4,0
1828,0,90,75,22,3.12,26200,3,1
1829,1,100,50,22,3.92,65000,9,1
1830,0,88,72,30,2.84,20900,1,1
1831,1,100,77,25,3.83,32100,8,1
1832,1,94,81,24,3.21,36200,6,1
1833,0,67,51,26,2.64,43700,2,0
1834,1,100,62,25,3.46,42200,11,1
1835,0,80,60,28,3.34,45700,3,0
1836,1,100,75,28,2.91,42300,6,1
1837,0,87,72,25,3.52,53600,1,0
1838,1,94,81,21,3.22,51600,5,1
1839,1,100,82,28,4,44300,5,1
1840,0,84,75,20,3.26,32500,1,0
1841,1,81,56,25,4,15000,7,1
1842,1,100,89,27,3.96,19300,9,1
1843,0,89,59,22,3.25,31900,6,0
1844,1,98,70,30,3.53,31400,3,1
1845,1,87,76,25,3.14,37800,5,0
1846,0,95,92,24,2.62,17000,4,1
1847,1,85,59,26,3.9,37600,4,1
1848,0,82,61,26,3.15,34500,3,0
1849,1,100,97,26,3.92,35300,4,1
1850,0,87,62,23,2.07,59500,6,0
1851,0,77,67,25,2.96,36400,2,0
1852,1,98,67,26,2.9,52500,5,1
1853,1,96,72,22,2.74,29000,6,1
1854,1,100,77,26,3.58,45400,10,1
1855,0,83,53,24,3.24,54100,7,0
1856,1,100,82,24,3.54,59400,4,1
1857,1,91,55,23,4,57800,6,1
1858,1,92,68,23,3.66,36200,6,0
1859,0,87,86,25,2.25,25300,5,0
1860,0,79,51,25,3.8,19300,6,0
1861,0,94,78,20,2.9,36000,4,0
1862,0,88,87,22,3.05,15000,5,1
1863,1,92,66,25,2.43,44800,5,1
1864,1,100,73,26,3.29,34100,11,1
1865,1,100,80,27,2.55,43800,1,1
1866,0,87,67,28,3.46,41700,5,0
1867,0,78,66,26,2.99,30900,3,0
1868,1,88,68,26,3.09,19000,6,1
1869,1,84,50,22,4,52700,5,1
1870,0,72,57,25,2.7,32800,2,0
1871,1,98,81,29,2.22,37900,7,1
1872,0,83,61,21,3.43,61100,2,0
1873,0,85,73,24,3.61,47000,6,0
1874,1,96,69,27,3.33,22200,3,1
1875,1,100,93,27,3.94,44600,3,1
1876,1,86,68,30,4,39900,0,1
1877,1,100,90,22,3.61,57200,5,1
1878,0,79,81,26,2.51,54800,0,0
1879,1,96,72,26,2.91,42600,4,1
1880,1,85,64,26,2.97,15000,5,0
1881,0,76,65,22,2.8,42800,4,1
1882,0,63,31,21,3.25,27100,6,0
1883,0,79,75,23,2.41,85500,2,0
1884,1,100,76,25,3.07,30300,8,1
1885,0,63,53,23,2.71,24300,3,0
1886,1,98,66,29,3.05,42600,3,1
1887,1,98,69,21,3.37,50100,8,1
1888,1,100,70,23,4,57800,7,1
1889,0,79,80,30,2.74,29000,0,0
1890,1,91,66,24,2.94,47400,3,1
1891,1,97,70,30,3.53,67200,2,0
1892,0,89,78,20,3.03,51000,5,0
1893,1,96,69,26,3.39,56600,6,0
1894,0,93,74,25,4,34200,4,1
1895,0,73,71,19,3.13,37600,3,0
1896,1,100,78,29,3.46,55700,5,1
1897,1,100,90,31,3.04,33300,9,1
1898,1,96,69,21,3.18,41600,6,1
1899,0,83,67,22,3.33,41400,6,0
1900,0,100,86,21,3.6,67200,2,1
1901,1,98,75,29,3.65,15000,8,1
1902,0,78,82,25,2.83,18500,1,0
1903,1,100,91,24,4,69900,5,1
1904,0,96,83,26,3.22,34300,3,1
1905,1,99,67,26,3.11,53900,5,1
1906,1,100,95,24,3.99,38700,4,1
1907,1,100,91,24,2.98,41600,6,1
1908,0,72,61,22,2.85,55300,2,0
1909,1,75,42,28,3.67,42500,5,0
1910,0,50,41,20,3.44,16700,1,0
1911,1,93,66,25,3.47,17200,7,1
1912,1,88,57,27,2.87,34800,4,1
1913,1,100,70,25,3.17,68500,12,1
1914,0,70,57,22,2.76,22000,5,0
1915,0,91,66,26,3.65,49800,5,1
1916,0,85,66,25,3.1,19500,2,0
1917,0,89,74,24,3.49,27200,4,0
1918,0,63,47,19,2.19,24000,4,0
1919,0,87,70,27,3.6,41700,4,0
1920,0,81,63,25,3.61,25400,0,0
1921,0,92,77,26,2.9,59500,5,0
1922,1,93,62,27,2.97,35500,4,0
1923,0,91,57,31,3.33,41400,6,1
1924,1,100,85,24,3.05,47500,2,1
1925,1,100,61,23,3.53,35500,5,1
1926,1,100,92,22,3.94,52900,5,1
1927,1,100,87,26,4,71300,3,1
1928,1,100,87,28,2.67,36000,10,1
1929,0,80,78,24,3.03,44100,0,0
1930,1,98,75,21,3.52,41200,8,1
1931,1,94,75,25,3.83,36200,5,1
1932,1,100,79,23,4,28200,6,1
1933,0,54,48,28,2.47,37800,1,0
1934,1,92,87,25,2.47,32700,7,1
1935,1,92,86,23,2.58,35100,4,0
1936,1,100,90,24,2.83,52900,4,1
1937,1,89,66,25,2.76,19100,5,0
1938,1,100,59,23,3.99,58100,9,1
1939,1,84,60,27,3.39,31600,4,1
1940,0,81,39,30,3.47,46600,2,0
1941,0,85,83,26,3.41,34100,1,0
1942,1,100,89,30,3.42,28200,7,1
1943,1,100,78,25,2.45,56500,6,1
1944,0,80,43,31,3.04,31400,3,0
1945,0,66,61,21,2.92,18100,2,0
1946,0,86,73,24,3.37,43100,2,0
1947,1,100,82,24,3.58,64100,5,1
1948,0,89,72,21,2.97,25400,1,0
1949,1,100,64,25,4,60500,3,1
1950,0,88,85,26,3.22,25900,1,0
1951,1,83,62,27,2.99,20800,3,0
1952,0,88,71,23,4,32900,2,0
1953,0,90,65,21,3.32,32100,1,1
1954,0,78,59,25,3.42,37300,4,0
1955,0,90,76,24,3.51,23200,6,0
1956,0,75,75,29,2.19,54100,1,0
1957,0,80,84,23,2.98,30300,3,0
1958,0,80,61,32,3.43,15000,6,0
1959,1,94,84,26,3.34,36200,3,1
1960,0,76,55,21,2.23,51000,2,0
1961,1,100,94,26,3.53,66400,6,1
1962,1,100,85,22,3.83,52200,8,1
1963,0,79,67,26,3.23,28200,4,0
1964,1,100,87,26,2.44,50800,5,1
1965,1,99,77,28,2.98,72000,4,1
1966,0,95,90,29,4,27700,0,1
1967,0,87,86,24,2.51,24400,2,0
1968,1,98,68,24,3.29,55500,3,1
1969,0,78,75,19,3.62,21000,1,0
1970,1,96,72,24,4,31000,6,1
1971,0,90,60,26,3.61,36800,2,0
1972,0,74,52,26,3.62,34500,3,0
1973,0,75,41,26,3.8,53800,5,0
1974,1,94,70,27,3.02,38500,5,1
1975,0,81,63,23,2.98,46600,3,0
1976,0,80,67,25,3.93,28800,4,0
1977,1,76,45,21,3.22,41900,8,0
1978,0,81,68,21,3.77,41000,1,0
1979,0,86,66,22,2.33,33600,3,0
1980,1,94,61,28,2.98,32500,3,1
1981,1,100,96,23,3.73,18100,9,1
1982,1,100,66,24,3.87,52400,4,1
1983,1,100,75,23,3.53,44500,6,1
1984,1,100,78,31,2.86,32500,8,1
1985,0,99,67,27,3.14,46000,5,0
1986,1,100,77,24,3.94,58600,6,1
1987,0,90,54,26,3.3,48000,3,1
1988,1,100,68,24,3.14,54500,4,1
1989,1,95,65,23,3.97,58300,9,1
1990,1,75,66,27,3.93,15000,4,0
1991,1,100,74,25,2.76,50100,7,1
1992,0,89,88,25,3.1,25900,1,0
1993,0,85,68,24,3.67,62000,2,0
1994,0,81,49,22,4,39000,1,0
1995,1,100,87,22,3.01,48400,3,1
1996,0,83,63,23,2.71,52800,3,0
1997,1,88,64,29,2.37,15000,7,1
1998,0,85,63,26,2.87,53400,2,0
1999,0,69,68,21,2.06,41400,4,0
2000,1,92,79,21,3.05,15000,4,1
2001,0,87,60,26,2.79,39500,3,0
2002,0,75,43,22,4,15000,2,0
2003,0,81,72,17,3.31,42600,6,0
2004,1,86,73,24,2.91,47700,1,1
2005,0,84,60,25,2.32,59800,5,0
2006,0,92,80,25,2.91,39300,3,1
2007,0,93,60,27,4,48800,5,0
2008,0,79,66,28,3.56,15000,4,0
2009,0,79,50,19,4,49000,0,0
2010,0,79,54,27,3.83,38900,4,0
2011,0,77,76,25,3.37,28000,3,0
2012,0,89,67,21,3.78,26100,5,0
2013,0,67,44,21,3.58,27400,4,0
2014,1,100,81,32,3.16,25900,8,1
2015,1,100,76,28,2.84,59300,9,1
2016,1,100,92,27,3.62,61400,6,1
2017,0,80,38,25,3.13,51900,8,0
2018,0,82,56,26,2.33,79500,2,0
2019,1,100,72,24,3.22,36100,5,1
2020,1,96,87,25,3.49,15000,3,1
2021,0,88,72,24,2.6,41500,0,0
2022,0,64,44,25,3.91,32400,1,0
2023,1,100,79,27,3.95,15000,8,1
2024,1,100,93,28,4,15000,5,1
2025,0,75,60,22,2.56,37500,5,0
2026,1,100,87,23,3.74,40900,14,1
2027,1,100,63,26,4,59300,6,1
2028,1,100,65,27,3.5,46000,7,1
2029,1,98,62,26,3.99,36400,9,1
2030,0,75,84,21,2.17,36600,0,0
2031,1,100,75,27,3.24,50300,2,1
2032,1,100,79,27,4,20300,7,1
2033,0,66,47,24,3.31,41500,0,0
2034,0,100,87,23,2.8,41300,5,1
2035,0,98,84,25,2.59,63000,4,1
2036,0,77,55,24,3.47,36800,2,0
2037,1,100,86,27,4,40500,8,1
2038,1,100,82,25,3.61,74500,4,1
2039,0,96,82,25,3.07,15000,4,1
2040,1,100,84,23,4,40600,7,1
2041,0,69,40,25,3.05,44900,0,0
2042,1,95,70,22,4,29900,7,1
2043,1,97,76,25,3.15,15000,11,1
2044,1,100,77,29,4,43100,6,1
2045,1,100,81,26,3.72,33200,2,1
2046,0,92,68,28,3.55,38900,6,0
2047,1,100,73,23,3.36,73200,7,1
2048,1,100,58,27,3.81,59100,4,1
2049,0,77,57,25,3.52,15000,1,0
2050,0,76,74,27,2.8,18400,3,0
2051,0,94,67,29,3.22,38400,2,1
2052,1,100,81,26,3.53,30800,7,1
2053,0,84,77,27,2.88,37800,2,0
2054,1,100,77,25,2.32,48800,6,1
2055,1,100,60,25,3.68,61700,3,1
2056,1,96,74,26,2.39,32700,7,1
2057,0,87,73,24,3.45,40500,2,0
2058,1,100,89,23,3.92,49300,6,1
2059,1,100,73,28,3.3,57300,8,1
2060,1,100,76,25,3.29,59700,9,1
2061,0,95,73,25,3.21,49800,2,1
2062,1,100,77,28,3.05,45600,4,1
2063,0,82,58,25,3.19,51800,3,0
2064,0,80,55,18,2.93,45100,4,0
2065,1,100,79,23,4,15000,6,1
2066,0,93,70,26,3.36,42200,2,1
2067,1,94,58,22,3.81,51000,7,1
2068,0,76,60,25,3.49,21100,6,0
2069,0,75,51,26,2.89,55600,1,0
2070,0,88,57,24,4,56500,6,1
2071,0,88,61,24,3.85,31900,4,0
2072,0,69,38,26,3.64,51600,4,0
2073,1,100,67,23,2.78,46000,4,1
2074,0,76,55,22,3.27,44500,2,0
2075,0,80,69,25,3.33,20300,6,0
2076,0,87,77,23,2.58,41500,5,0
2077,0,73,75,27,2.6,55500,1,0
2078,1,98,93,27,2.37,34000,2,1
2079,1,100,90,23,4,48500,4,1
2080,0,67,51,25,2.85,41900,0,0
2081,0,85,95,24,2.67,35600,1,1
2082,0,62,47,27,3.86,44100,0,0
2083,1,100,96,25,4,56900,4,1
2084,1,100,69,26,4,65600,7,1
2085,0,95,59,27,4,55600,6,1
2086,0,97,94,24,2.6,68900,4,1
2087,1,100,71,28,3.38,50900,6,1
2088,0,85,58,28,4,31500,3,0
2089,0,86,90,27,3.06,15000,1,0
2090,0,91,75,25,3.07,37400,5,1
2091,0,76,59,22,2.7,44200,4,0
2092,0,51,38,27,2.63,15000,2,0
2093,0,92,65,27,3.71,19900,3,0
2094,0,73,44,25,4,34200,8,0
2095,1,98,85,25,3.04,50700,2,1
2096,1,94,64,28,3.12,33300,2,1
2097,1,93,79,20,2.6,37000,4,1
2098,0,94,81,25,3.12,46100,8,0
2099,0,70,59,24,2.59,43000,4,0
2100,1,100,61,26,4,42600,2,1
2101,1,100,91,24,2.11,23100,5,1
2102,0,86,77,23,3.4,20000,1,0
2103,1,100,80,24,3.47,50900,7,1
2104,0,85,92,20,2.7,33900,6,0
2105,0,77,45,23,2.82,42900,3,0
2106,0,82,73,23,3.28,44400,3,0
2107,1,100,95,23,3.76,52300,7,1
2108,0,99,79,28,2.94,50300,3,1
2109,1,92,63,22,4,25300,6,0
2110,0,87,82,26,3.2,38800,4,0
2111,1,96,57,28,2.69,18500,7,1
2112,1,100,89,21,3.46,64700,4,1
2113,0,71,56,25,2.77,28200,2,0
2114,0,71,39,24,3.9,26000,2,0
2115,1,91,45,26,3.08,49600,5,1
2116,1,100,76,26,2.66,49600,5,1
2117,1,100,70,29,3.67,60600,3,1
2118,0,75,53,25,3.41,50500,4,0
2119,1,100,97,25,3.29,21500,6,1
2120,1,99,88,26,2.68,24000,6,1
2121,0,66,30,24,3.36,33900,2,0
2122,0,76,78,24,2.86,15000,4,0
2123,1,98,59,21,3.71,32400,7,1
2124,0,79,77,23,2.89,36500,2,0
2125,1,88,57,24,3.14,57700,8,1
2126,1,95,39,30,3.11,32500,6,1
2127,1,100,89,28,2.8,15000,5,1
2128,0,82,53,28,2.88,24200,3,0
2129,0,77,64,24,2.89,22700,3,0
2130,1,100,75,23,3.91,27100,7,1
2131,0,88,74,26,2.68,47300,4,1
2132,0,81,51,26,3.43,29700,3,0
2133,1,97,77,26,2.32,38600,6,1
2134,0,74,56,24,3.46,42300,1,0
